INLINE PlayerClassGrowthsTable,HP Growth,STR Growth,SKL Growth,SPD Growth,DEF Growth,RES Growth,LUK Growth,MAG Growth,HP Neg,STR Neg,SKL Neg,SPD Neg,DEF Neg,RES Neg,LUK Neg,MAG Neg
None,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
Ephraim Lord,90,45,40,45,15,15,40,10,0,0,0,0,0,0,0,0
Eirika Lord,90,45,40,45,15,20,40,25,0,0,0,0,0,0,0,0
Ephraim Master Lord,90,45,40,45,15,15,40,10,0,0,0,0,0,0,0,0
Eirika Master Lord,90,45,40,45,15,20,40,20,0,0,0,0,0,0,0,0
Cavalier,75,35,40,28,15,15,30,0,0,0,0,0,0,0,0,0
Cavalier (F),75,35,40,28,15,15,30,0,0,0,0,0,0,0,0,0
Paladin,70,25,30,18,12,20,25,10,0,0,0,0,0,0,0,0
Paladin (F),70,25,35,25,12,25,25,10,0,0,0,0,0,0,0,0
Armour Knight,80,40,30,15,28,20,25,0,0,0,0,0,0,0,0,0
Armour Knight (F),80,40,30,15,28,20,25,0,0,0,0,0,0,0,0,0
General,75,30,20,10,23,25,20,0,0,0,0,0,0,0,0,0
General (F),75,30,25,10,23,25,20,0,0,0,0,0,0,0,0,0
Thief,50,5,45,40,5,20,40,5,0,0,0,0,0,0,0,0
Manakete,95,40,30,20,0,10,25,0,0,0,0,0,0,0,0,0
Mercenary,80,40,40,32,18,20,30,0,0,0,0,0,0,0,0,0
Mercenary (F),80,40,40,32,18,30,30,0,0,0,0,0,0,0,0,0
Hero,75,30,30,20,20,20,25,0,0,0,0,0,0,0,0,0
Hero (F),75,30,30,20,20,20,25,0,0,0,0,0,0,0,0,0
Myrmidon,70,35,40,40,15,20,30,15,0,0,0,0,0,0,0,0
Myrmidon (F),70,35,40,40,15,20,30,15,0,0,0,0,0,0,0,0
Swordmaster,65,25,30,30,15,22,25,10,0,0,0,0,0,0,0,0
Swordmaster (F),65,25,30,30,15,22,25,10,0,0,0,0,0,0,0,0
Assassin,50,5,45,40,5,20,40,0,0,0,0,0,0,0,0,0
Assassin (F),50,5,45,40,5,20,40,0,0,0,0,0,0,0,0,0
Archer,70,35,40,32,15,15,35,0,0,0,0,0,0,0,0,0
Archer (F),70,35,40,32,15,20,35,0,0,0,0,0,0,0,0,0
Sniper,65,30,30,20,15,20,30,10,0,0,0,0,0,0,0,0
Sniper (F),65,30,30,20,15,25,30,10,0,0,0,0,0,0,0,0
Ranger,60,25,30,35,15,15,25,0,0,0,0,0,0,0,0,0
Ranger (F),60,25,30,35,15,20,25,0,0,0,0,0,0,0,0,0
Wyvern Rider,80,45,35,30,25,15,25,0,0,0,0,0,0,0,0,0
Wyvern Rider (F),80,45,35,30,25,17,25,0,0,0,0,0,0,0,0,0
Wyvern Lord,75,40,30,20,20,17,20,0,0,0,0,0,0,0,0,0
Wyvern Lord (F),75,40,30,20,20,17,20,0,0,0,0,0,0,0,0,0
Wyvern Knight,65,35,30,30,15,17,25,5,0,0,0,0,0,0,0,0
Wyvern Knight (F),65,35,30,30,15,20,25,5,0,0,0,0,0,0,0,0
Mage,55,55,40,35,5,30,20,55,0,0,0,0,0,0,0,0
Mage (F),55,55,40,35,5,40,20,55,0,0,0,0,0,0,0,0
Sage,45,45,30,25,10,40,15,45,0,0,0,0,0,0,0,0
Sage (F),45,45,30,25,10,40,15,45,0,0,0,0,0,0,0,0
Mage Knight,45,40,30,40,10,40,30,40,0,0,0,0,0,0,0,0
Mage Knight (F),45,40,30,40,10,40,40,40,0,0,0,0,0,0,0,0
Bishop,45,35,25,22,8,40,40,35,0,0,0,0,0,0,0,0
Bishop (F),45,35,25,22,8,50,40,35,0,0,0,0,0,0,0,0
Shaman,50,50,32,30,10,30,20,50,0,0,0,0,0,0,0,0
Shaman (F),50,45,32,30,10,40,20,45,0,0,0,0,0,0,0,0
Druid,45,55,30,25,10,35,20,55,0,0,0,0,0,0,0,0
Druid (F),45,55,30,25,10,35,20,55,0,0,0,0,0,0,0,0
Summoner,45,50,30,25,8,35,20,50,0,0,0,0,0,0,0,0
Summoner (F),45,50,30,25,8,35,20,50,0,0,0,0,0,0,0,0
Rogue,50,10,45,35,5,20,40,25,0,0,0,0,0,0,0,0
Gorgon Egg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Knight,70,30,20,15,21,20,20,0,0,0,0,0,0,0,0,0
Great Knight (F),70,30,25,20,21,22,20,0,0,0,0,0,0,0,0,0
Recruit (2),75,45,40,40,25,35,40,0,0,0,0,0,0,0,0,0
Journeyman (3),85,55,40,32,18,20,40,0,0,0,0,0,0,0,0,0
Pupil (3),55,55,40,35,10,30,40,55,0,0,0,0,0,0,0,0
Recruit (3),75,45,40,40,25,35,40,0,0,0,0,0,0,0,0,0
Manakete,95,40,30,20,0,10,25,0,0,0,0,0,0,0,0,0
Manakete (F),95,40,30,20,0,10,25,0,0,0,0,0,0,0,0,0
Journeyman (1),85,55,40,32,18,20,40,0,0,0,0,0,0,0,0,0
Pupil (1),55,55,40,35,10,30,40,55,0,0,0,0,0,0,0,0
Fighter,85,55,35,30,15,15,15,0,0,0,0,0,0,0,0,0
Warrior,80,45,25,20,16,17,15,0,0,0,0,0,0,0,0,0
Brigand,82,50,30,20,10,13,15,0,0,0,0,0,0,0,0,0
Pirate,75,50,35,25,10,13,15,0,0,0,0,0,0,0,0,0
Berserker,75,50,35,25,10,13,15,0,0,0,0,0,0,0,0,0
Monk,50,30,35,32,8,40,45,30,0,0,0,0,0,0,0,0
Priest,50,30,35,32,8,50,45,30,0,0,0,0,0,0,0,0
Bard,45,45,30,60,0,13,70,45,0,0,0,0,0,0,0,0
Recruit (1),75,45,40,40,25,35,40,0,0,0,0,0,0,0,0,0
Pegasus Knight,65,35,40,40,12,35,35,10,0,0,0,0,0,0,0,0
Falcon Knight,60,30,30,30,12,30,30,30,0,0,0,0,0,0,0,0
Cleric,50,30,35,32,8,50,45,30,0,0,0,0,0,0,0,0
Troubadour,50,25,35,55,12,40,45,25,0,0,0,0,0,0,0,0
Valkyrie,45,35,25,45,10,40,40,35,0,0,0,0,0,0,0,0
Dancer,45,45,30,60,0,13,70,45,0,0,0,0,0,0,0,0
Soldier,80,50,30,20,12,15,25,0,0,0,0,0,0,0,0,0
Necromancer,45,55,30,25,10,35,20,55,0,0,0,0,0,0,0,0
Fleet,75,35,40,32,15,15,15,0,0,0,0,0,0,0,0,0
Phantom,0,55,35,45,15,15,50,0,0,0,0,0,0,0,0,0
Revenant,95,50,30,20,10,13,10,0,0,0,0,0,0,0,0,0
Entombed,85,40,25,17,10,13,50,0,0,0,0,0,0,0,0,0
Bonewalker,80,50,30,20,12,15,10,0,0,0,0,0,0,0,0,0
Bonewalker (Bow),70,35,40,32,15,15,10,0,0,0,0,0,0,0,0,0
Wight,65,25,25,20,15,22,10,0,0,0,0,0,0,0,0,0
Wight (Bow),65,30,30,20,15,20,10,0,0,0,0,0,0,0,0,0
Bael,82,50,30,20,18,13,15,0,0,0,0,0,0,0,0,0
Elder Bael,85,45,25,20,21,17,10,0,0,0,0,0,0,0,0,0
Cyclops,95,30,35,25,24,25,10,0,0,0,0,0,0,0,0,0
Mauthe Doog,70,35,45,45,15,20,30,0,0,0,0,0,0,0,0,0
Gwyllgi,65,28,35,35,16,22,25,0,0,0,0,0,0,0,0,0
Tarvos,80,35,40,28,15,15,10,0,0,0,0,0,0,0,0,0
Maelduin,75,30,30,18,13,20,10,0,0,0,0,0,0,0,0,0
Mogall,50,45,32,30,10,28,30,45,0,0,0,0,0,0,0,0
Arch Mogall,45,55,30,25,10,28,20,55,0,0,0,0,0,0,0,0
Gorgon,45,60,30,25,10,40,30,60,0,0,0,0,0,0,0,0
Gorgon Egg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gargoyle,80,45,35,35,25,15,10,0,0,0,0,0,0,0,0,0
Deathgoyle,75,40,30,25,20,17,10,0,0,0,0,0,0,0,0,0
Dracozombie,85,35,20,20,30,10,25,30,0,0,0,0,0,0,0,0
Demon King,95,40,30,20,20,20,25,40,0,0,0,0,0,0,0,0
Archer on Ballista,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Archer on Iron Ballista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archer on Killer Ballista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Ballista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer Ballista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civilian,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Civilian (F),10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Civilian,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Civilian (F),10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Civilian,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Civilian (F),10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Peer,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Queen,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Prince,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Queen,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
(empty),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallen Prince,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Tent,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Pontifex,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Dead Peer,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Cyclops,95,30,35,25,24,25,10,0,0,0,0,0,0,0,0,0
Elder Bael,85,45,25,20,21,17,10,0,0,0,0,0,0,0,0,0
Journeyman (2),85,55,40,32,18,20,40,0,0,0,0,0,0,0,0,0
Pupil (2),55,55,40,35,10,30,40,55,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Ephraim Lord,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
